image_id,image_path,class_id,class_name,confidence,xmin,ymin,xmax,ymax
20170610-SPI-AOI-1,C:\Users\User\Desktop\practice\pcb_aoi_project\data\yolo\images\test\20170610-SPI-AOI-1.jpeg,0,Bad_podu,0.2813958525657654,25.247509002685547,523.5711669921875,39.0828742980957,547.8536987304688
20170615-SPI-AOI-3,C:\Users\User\Desktop\practice\pcb_aoi_project\data\yolo\images\test\20170615-SPI-AOI-3.jpeg,0,Bad_podu,0.5298590660095215,115.0331039428711,536.0714721679688,129.1551971435547,560.4075317382812
20170615-SPI-AOI-3,C:\Users\User\Desktop\practice\pcb_aoi_project\data\yolo\images\test\20170615-SPI-AOI-3.jpeg,0,Bad_podu,0.2649659812450409,311.9268493652344,536.3215942382812,326.6353759765625,558.3961181640625
20170705-SPI-AOI-1,C:\Users\User\Desktop\practice\pcb_aoi_project\data\yolo\images\test\20170705-SPI-AOI-1.jpeg,0,Bad_podu,0.2690161466598511,457.3157348632813,493.94482421875,474.354248046875,511.043212890625
20170731-SPI-AOI-5,C:\Users\User\Desktop\practice\pcb_aoi_project\data\yolo\images\test\20170731-SPI-AOI-5.jpeg,0,Bad_podu,0.2706807851791382,69.08135223388672,534.3190307617188,83.37024688720703,555.0750732421875
20170815-SPI-AOI-1,C:\Users\User\Desktop\practice\pcb_aoi_project\data\yolo\images\test\20170815-SPI-AOI-1.jpeg,0,Bad_podu,0.2554534375667572,525.4497680664062,77.9836654663086,551.7919921875,87.07765197753906
20170829-SPI-AOI-3,C:\Users\User\Desktop\practice\pcb_aoi_project\data\yolo\images\test\20170829-SPI-AOI-3.jpeg,0,Bad_podu,0.2725531160831451,324.5975646972656,55.83452224731445,340.0570068359375,74.76058197021484
20170830-SPI-AOI-1,C:\Users\User\Desktop\practice\pcb_aoi_project\data\yolo\images\test\20170830-SPI-AOI-1.jpeg,0,Bad_podu,0.3294090926647186,414.4143981933594,59.27922058105469,429.0829772949219,84.22294616699219
20171206-SPI-AOI-7,C:\Users\User\Desktop\practice\pcb_aoi_project\data\yolo\images\test\20171206-SPI-AOI-7.jpeg,0,Bad_podu,0.2605767846107483,264.4530334472656,54.03489303588867,279.488525390625,75.94424438476562
20171207-SPI-AOI-3,C:\Users\User\Desktop\practice\pcb_aoi_project\data\yolo\images\test\20171207-SPI-AOI-3.jpeg,0,Bad_podu,0.3064266443252563,504.7721862792969,535.4887084960938,520.7959594726562,552.879638671875
20180309-SPI-AOI-15,C:\Users\User\Desktop\practice\pcb_aoi_project\data\yolo\images\test\20180309-SPI-AOI-15.jpeg,0,Bad_podu,0.2951700985431671,25.374732971191406,60.36989974975586,43.5444450378418,83.959228515625
20180309-SPI-AOI-17,C:\Users\User\Desktop\practice\pcb_aoi_project\data\yolo\images\test\20180309-SPI-AOI-17.jpeg,0,Bad_podu,0.3300460875034332,269.239990234375,534.2901611328125,284.57763671875,557.3929443359375
20180319-SPI-AOI-4,C:\Users\User\Desktop\practice\pcb_aoi_project\data\yolo\images\test\20180319-SPI-AOI-4.jpeg,0,Bad_podu,0.264883816242218,295.819580078125,522.96142578125,311.4706115722656,543.9840087890625
20180319-SPI-AOI-4,C:\Users\User\Desktop\practice\pcb_aoi_project\data\yolo\images\test\20180319-SPI-AOI-4.jpeg,0,Bad_podu,0.2514378428459167,203.99424743652344,522.2883911132812,219.9059295654297,540.3831176757812
20180403-SPI-AOI-1,C:\Users\User\Desktop\practice\pcb_aoi_project\data\yolo\images\test\20180403-SPI-AOI-1.jpeg,0,Bad_podu,0.257454365491867,537.4381103515625,91.57357025146484,554.4578857421875,119.54258728027344
20180427-SPI-AOI-1,C:\Users\User\Desktop\practice\pcb_aoi_project\data\yolo\images\test\20180427-SPI-AOI-1.jpeg,0,Bad_podu,0.3143809139728546,531.862060546875,221.8848419189453,567.5970458984375,234.72683715820312
20180524-SPI-AOI-1,C:\Users\User\Desktop\practice\pcb_aoi_project\data\yolo\images\test\20180524-SPI-AOI-1.jpeg,0,Bad_podu,0.3488699793815613,529.3213500976562,19.803245544433597,557.9741821289062,28.963890075683597
20180524-SPI-AOI-1,C:\Users\User\Desktop\practice\pcb_aoi_project\data\yolo\images\test\20180524-SPI-AOI-1.jpeg,0,Bad_podu,0.2588506042957306,45.56713485717773,18.462759017944336,77.56681823730469,28.87287712097168
20180524-SPI-AOI-1,C:\Users\User\Desktop\practice\pcb_aoi_project\data\yolo\images\test\20180524-SPI-AOI-1.jpeg,0,Bad_podu,0.2587990164756775,525.871337890625,167.62655639648438,559.1168823242188,176.55255126953125
