split,xml_path,image_path,image_id,base_id,filename,width,height,class_name,xmin,ymin,xmax,ymax,box_width,box_height,box_area,box_area_ratio
train_data,data\raw\train_data\Annotations\20161019-SPI-AOI-1.xml,data\raw\train_data\JPEGImages\20161019-SPI-AOI-1.jpeg,20161019-SPI-AOI-1,20161019-SPI-AOI-1,20161019-SPI-AOI-1.jpg,600,600,Bad_podu,137,520,163,542,26,22,572,0.0015888888888888888
train_data,data\raw\train_data\Annotations\20161020-SPI-AOI-5.xml,data\raw\train_data\JPEGImages\20161020-SPI-AOI-5.jpeg,20161020-SPI-AOI-5,20161020-SPI-AOI-5,20161020-SPI-AOI-5.jpg,600,600,Bad_podu,50,561,69,574,19,13,247,0.0006861111111111111
train_data,data\raw\train_data\Annotations\20161020-SPI-AOI-5.xml,data\raw\train_data\JPEGImages\20161020-SPI-AOI-5.jpeg,20161020-SPI-AOI-5,20161020-SPI-AOI-5,20161020-SPI-AOI-5.jpg,600,600,Bad_podu,522,563,540,576,18,13,234,0.00065
train_data,data\raw\train_data\Annotations\20161021-SPI-AOI-13.xml,data\raw\train_data\JPEGImages\20161021-SPI-AOI-13.jpeg,20161021-SPI-AOI-13,20161021-SPI-AOI-13,20161021-SPI-AOI-13.jpg,600,600,Bad_podu,43,280,67,292,24,12,288,0.0008
train_data,data\raw\train_data\Annotations\20161021-SPI-AOI-13.xml,data\raw\train_data\JPEGImages\20161021-SPI-AOI-13.jpeg,20161021-SPI-AOI-13,20161021-SPI-AOI-13,20161021-SPI-AOI-13.jpg,600,600,Bad_podu,43,328,68,339,25,11,275,0.0007638888888888889
train_data,data\raw\train_data\Annotations\20161021-SPI-AOI-13.xml,data\raw\train_data\JPEGImages\20161021-SPI-AOI-13.jpeg,20161021-SPI-AOI-13,20161021-SPI-AOI-13,20161021-SPI-AOI-13.jpg,600,600,Bad_podu,531,180,555,192,24,12,288,0.0008
train_data,data\raw\train_data\Annotations\20161021-SPI-AOI-14.xml,data\raw\train_data\JPEGImages\20161021-SPI-AOI-14.jpeg,20161021-SPI-AOI-14,20161021-SPI-AOI-14,20161021-SPI-AOI-14.jpg,600,600,Bad_podu,527,183,554,192,27,9,243,0.000675
train_data,data\raw\train_data\Annotations\20161021-SPI-AOI-14.xml,data\raw\train_data\JPEGImages\20161021-SPI-AOI-14.jpeg,20161021-SPI-AOI-14,20161021-SPI-AOI-14,20161021-SPI-AOI-14.jpg,600,600,Bad_podu,524,230,558,239,34,9,306,0.00085
train_data,data\raw\train_data\Annotations\20161021-SPI-AOI-14.xml,data\raw\train_data\JPEGImages\20161021-SPI-AOI-14.jpeg,20161021-SPI-AOI-14,20161021-SPI-AOI-14,20161021-SPI-AOI-14.jpg,600,600,Bad_podu,34,280,69,290,35,10,350,0.0009722222222222222
train_data,data\raw\train_data\Annotations\20161021-SPI-AOI-15.xml,data\raw\train_data\JPEGImages\20161021-SPI-AOI-15.jpeg,20161021-SPI-AOI-15,20161021-SPI-AOI-15,20161021-SPI-AOI-15.jpg,600,600,Bad_podu,529,126,559,139,30,13,390,0.0010833333333333333
train_data,data\raw\train_data\Annotations\20161021-SPI-AOI-15.xml,data\raw\train_data\JPEGImages\20161021-SPI-AOI-15.jpeg,20161021-SPI-AOI-15,20161021-SPI-AOI-15,20161021-SPI-AOI-15.jpg,600,600,Bad_podu,528,224,560,235,32,11,352,0.0009777777777777777
train_data,data\raw\train_data\Annotations\20161021-SPI-AOI-15.xml,data\raw\train_data\JPEGImages\20161021-SPI-AOI-15.jpeg,20161021-SPI-AOI-15,20161021-SPI-AOI-15,20161021-SPI-AOI-15.jpg,600,600,Bad_podu,528,321,558,336,30,15,450,0.00125
train_data,data\raw\train_data\Annotations\20161021-SPI-AOI-15.xml,data\raw\train_data\JPEGImages\20161021-SPI-AOI-15.jpeg,20161021-SPI-AOI-15,20161021-SPI-AOI-15,20161021-SPI-AOI-15.jpg,600,600,Bad_podu,528,419,556,432,28,13,364,0.001011111111111111
